sequence,tx_ns,rx_ns,latency_ns
265,200000000,200000732,732
266,200000000,200000734,734
267,200000000,200000736,736
268,200000000,200000738,738
269,200000000,200000740,740
270,200000000,200000742,742
271,200000000,200000744,744
272,200000000,200000746,746
273,200000000,200000748,748
274,200000000,200000750,750
275,200000000,200000752,752
276,200000000,200000754,754
277,200000000,200000756,756
278,200000000,200000758,758
279,200000000,200000760,760
280,200000000,200000762,762
281,200000000,200000764,764
282,200000000,200000766,766
283,200000000,200000768,768
284,200000000,200000770,770
285,200000000,200000772,772
286,200000000,200000774,774
287,200000000,200000776,776
288,200000000,200000778,778
289,200000000,200000780,780
290,200000000,200000782,782
291,200000000,200000784,784
292,200000000,200000786,786
293,200000000,200000788,788
294,200000000,200000790,790
295,200000000,200000792,792
296,200000000,200000794,794
297,200000000,200000796,796
298,200000000,200000798,798
299,200000000,200000800,800
300,200000000,200000802,802
301,200000000,200000804,804
302,200000000,200000806,806
303,200000000,200000808,808
304,200000000,200000810,810
305,200000000,200000812,812
306,200000000,200000814,814
307,200000000,200000816,816
308,200000000,200000818,818
309,200000000,200000820,820
310,200000000,200000822,822
311,200000000,200000824,824
312,200000000,200000826,826
313,200000000,200000828,828
314,200000000,200000830,830
315,200000000,200000832,832
316,200000000,200000834,834
317,200000000,200000836,836
318,200000000,200000838,838
319,200000000,200000840,840
320,200000000,200000842,842
321,200000000,200000844,844
322,200000000,200000846,846
323,200000000,200000848,848
324,200000000,200000850,850
325,200000000,200000852,852
326,200000000,200000854,854
327,200000000,200000856,856
328,200000000,200000858,858
329,200000000,200000860,860
330,200000000,200000862,862
331,200000000,200000864,864
332,200000000,200000866,866
333,200000000,200000868,868
334,200000000,200000870,870
335,200000000,200000872,872
336,200000000,200000874,874
337,200000000,200000876,876
338,200000000,200000878,878
339,200000000,200000880,880
340,200000000,200000882,882
341,200000000,200000884,884
342,200000000,200000886,886
343,200000000,200000888,888
344,200000000,200000890,890
345,200000000,200000892,892
346,200000000,200000894,894
347,200000000,200000896,896
348,200000000,200000898,898
349,200000000,200000900,900
